Salinity,Temperature
33.2625,18.603
34.1471,7.962
32.422,14.342
34.1308,10.523
33.603,9.535
34.0253,8.956
33.2294,14.073
34.2496,8.185
34.2382,5.818
33.5046,14.156
33.9489,8.813
34.1582,7.27
34.0686,7.486
34.1601,8.971
33.9017,8.817
33.1447,12.196
33.3347,16.242
33.6656,16.629
34.2536,6.154
32.9821,14.561
34.2291,5.892
34.1482,7.493
33.3628,17.8
33.3441,13.573
33.262,12.203
34.2831,6.316
33.5005,19.208
33.4822,19.415
33.3795,16.677
34.1974,5.912
34.033,7.407
34.2013,5.984
34.1473,6.321
33.2876,19.559
33.3456,15.19
33.0325,15.51
33.3437,14.474
33.2768,12.715
34.3192,6.503
34.2321,6.324
33.4474,9.758
33.1815,15.649
33.3512,10.16
33.2887,14.096
33.1756,11.178
33.3084,16.249
34.0701,8.232
33.6336,11.336
33.6999,11.991
33.8588,9.22
34.2617,6.017
33.3444,12.414
33.2177,11.641
34.2405,9.315
33.6914,9.193
33.9872,8.011
34.2642,6.351
34.0129,8.272
33.5721,14.415
33.2837,13.977
34.1186,6.168
33.3537,16.752
34.136,7.757
33.441,10.386
33.0559,12.68
34.176,7.003
34.0748,7.164
34.2759,6.421
34.1118,8.222
33.955,8.341
34.1194,6.47
34.2781,9.071
33.4767,13.075
32.9013,14.542
33.1882,10.976
34.2697,6.546
33.3958,16.742
34.1812,6.572
33.2169,12.842
34.0433,7.442
33.5547,18.822
33.9461,8.3
33.9542,8.827
33.3291,10.551
33.3601,16.331
33.5662,11.826
32.8323,13.053
34.1992,7.75
34.2166,10.24
33.4188,13.081
33.3435,18.929
33.8278,9.025
33.1186,15.408
34.007,8.583
33.3087,15.008
33.2754,16.649
34.1056,8.694
33.5244,15.072
34.0762,8.11
33.7423,9.24
34.2228,7.882
33.4729,12.279
34.0588,8.978
33.5331,16.544
33.4145,13.988
33.7301,9.752
33.4068,18.538
34.2911,6.326
33.4437,18.981
33.8774,9.811
33.9516,8.68
33.4976,14.9
33.6428,9.325
33.5853,14.717
34.0357,8.089
33.0142,12.15
33.8111,12.271
33.3187,11.397
33.8371,9.349
33.5898,9.587
33.0797,17.467
33.2342,12.903
33.2664,13.976
34.0648,6.6
34.0414,8.083
33.4171,14.533
34.0585,8.12
33.6045,16.143
33.471,15.54
33.6552,11.592
34.3392,6.093
34.0685,6.447
34.2514,6.209
33.5339,14.942
33.9598,8.271
34.1205,10.137
33.5327,19.417
34.0468,7.657
33.1722,16.145
33.496,10.571
32.7993,12.43
33.2816,15.627
33.746,11.614
33.3987,15.66
33.5379,10.066
33.4212,13.219
33.5044,15.814
33.4981,16.026
33.5756,15.629
33.2092,15.418
33.606,10.726
33.9723,8.492
33.353,12.085
34.2492,6.746
34.0964,8.049
33.3169,13.617
33.4328,11.415
